herd.name,herd.id,latitude,longitude,herd.type,n.animals,day.onset,day.dx,dx.reason,day.culling.start
Case_1,109047,-36.5112796,144.8273376,pigs large,3209,4,22,TP,25
Case_2,104058,-36.49945583,144.9456487,dairy,127,8,34,DCP,37
Case_3,120734,-36.46383352,145.0562264,sheep,1235,8,27,SP,29
Case_4,80984,-36.4563005,144.9038018,mixed sheep,1705,9,26,SP,30
Case_5,103912,-36.37673931,144.8035603,dairy,213,9,34,ARP,37
Case_6,103959,-36.53691725,144.7564164,dairy,561,10,35,ARP,38
Case_7,104294,-36.32549131,144.7735668,dairy,255,10,32,DCP,35
Case_8,22474,-36.41998903,144.8335371,beef intensive,32,11,42,ARP,45
Case_9,22428,-36.43453846,145.0642558,beef intensive,67,14,25,SP,28
Case_10,82150,-36.68187369,145.3812529,mixed sheep,1241,14,21,1ST_DETECTION,25
Case_11,22579,-36.27869295,144.8444874,beef intensive,48,16,25,SP,28
Case_12,120723,-36.49725971,144.8743195,sheep,1446,19,33,SP,35
Case_13,103878,-36.39911459,144.8502956,dairy,292,20,27,SP,30
Case_14,22604,-36.33124384,144.2476946,beef intensive,46,21,29,SP,32
Case_15,22757,-36.21953428,144.6364788,beef intensive,51,21,27,SP,30
Case_16,81813,-36.86195497,145.8302114,mixed beef,232,21,28,SP,32
Case_17,81814,-36.78613481,146.0150559,mixed sheep,1211,22,28,SP,32
Case_18,22836,-36.67450055,145.7761402,beef intensive,58,23,31,SP,34
Case_19,75055,-38.1583616,145.1643522,mixed beef,36,23,30,SP,34
Case_20,22613,-36.37342914,144.5849691,beef intensive,98,23,31,SP,34
Case_21,80971,-36.43235071,145.1437064,mixed beef,43,23,31,SP,35
Case_22,23336,-36.12836479,145.5366016,beef intensive,63,23,29,SP,32
Case_23,48211,-36.94118887,144.0590344,beef intensive,78,23,29,SP,32
Case_24,104214,-36.19800784,144.6339,dairy,350,26,32,SP,35
Case_25,80972,-36.67720319,145.0727368,mixed sheep,1555,26,31,SP,35
Case_26,80983,-36.16043099,145.0782639,mixed beef,133,27,26,SP,30
Case_27,82149,-36.62352755,145.4907578,mixed beef,102,27,21,1ST_DETECTION,25
Case_28,103882,-36.48776724,145.0868162,dairy,326,27,33,SP,36
Case_29,55067,-35.91409868,146.565237,feedlot,3880,27,33,SP,37
Case_30,103885,-36.36878432,144.6911281,dairy,273,29,34,SP,37
Case_31,22663,-36.35956643,144.637374,beef intensive,161,31,38,SP,41
Case_32,22433,-36.44175147,144.7982115,beef intensive,152,32,38,SP,41
Case_33,103871,-36.29779408,144.8946822,dairy,532,32,37,SP,40
Case_34,114872,-35.94129882,146.5241393,sheep,720,35,40,ARP,42
Case_35,120660,-36.29037598,144.8519514,sheep,1056,37,44,ARP,46
Case_36,22523,-36.49995305,144.9365055,beef intensive,107,39,43,SP,46
Case_37,22584,-36.35756485,144.7428644,beef intensive,55,40,44,ARP,47
Case_38,104047,-36.48487965,144.8361225,dairy,266,41,48,SP,51
Case_39,104051,-36.36261889,144.8515276,dairy,258,43,49,SP,52
Case_40,22488,-36.39344286,144.745944,beef intensive,69,53,61,SP,64
Case_41,104003,-36.46730563,144.8658499,dairy,459,63,68,SP,71
Case_42,103945,-36.56649817,144.9674194,dairy,324,73,78,SP,81
